update,total_steps,eval_mean_reward
10,5120,0.8942
20,10240,-0.2500000000000001
30,15360,-0.2500000000000001
40,20480,-0.2500000000000001
50,25600,0.9309999999999998
60,30720,0.9309999999999998
70,35840,0.9309999999999998
80,40960,0.9309999999999998
90,46080,0.9309999999999998
100,51200,0.9309999999999998
110,56320,0.9309999999999998
120,61440,0.9309999999999998
130,66560,0.9309999999999998
140,71680,0.9309999999999998
150,76800,0.9309999999999998
160,81920,0.9309999999999998
170,87040,0.9309999999999998
180,92160,0.9309999999999998
190,97280,0.8942
200,102400,0.9309999999999998
210,107520,0.9309999999999998
220,112640,0.9309999999999998
230,117760,0.9217999999999998
240,122880,0.9309999999999998
250,128000,0.9309999999999998
260,133120,0.9309999999999998
270,138240,0.9309999999999998
280,143360,0.9309999999999998
290,148480,0.9309999999999998
300,153600,0.9309999999999998
310,158720,0.9309999999999998
320,163840,0.9309999999999998
330,168960,0.9309999999999998
340,174080,0.9309999999999998
350,179200,0.9217999999999998
360,184320,0.9309999999999998
370,189440,0.9309999999999998
380,194560,0.9309999999999998
390,199680,0.9309999999999998
