update,total_steps,eval_mean_reward
10,2560,-0.2789583333333336
20,5120,-0.12067500000000025
30,7680,0.022549999999999758
40,10240,0.03847499999999978
50,12800,-0.16647500000000023
60,15360,-0.31728333333333364
70,17920,-0.31912500000000027
80,20480,0.5249166666666665
90,23040,0.49049166666666655
100,25600,0.4342916666666665
110,28160,0.5281666666666666
120,30720,0.6310083333333334
130,33280,0.6388083333333334
140,35840,0.6404333333333334
150,38400,0.2010916666666665
160,40960,0.038583333333333115
170,43520,0.4670916666666665
180,46080,0.5609666666666666
190,48640,0.5888916666666666
200,51200,0.38827499999999987
210,53760,0.6938166666666665
220,56320,0.6086083333333332
230,58880,0.561075
240,61440,0.5148416666666665
250,64000,0.5668166666666664
260,66560,0.48052499999999987
270,69120,0.4781416666666665
280,71680,0.6443333333333332
290,74240,0.4754333333333332
300,76800,-0.20209166666666695
310,79360,0.36251666666666665
320,81920,0.5878083333333332
330,84480,0.4282249999999998
340,87040,0.602975
350,89600,0.6058999999999999
360,92160,0.5088833333333332
370,94720,0.5580416666666665
380,97280,0.6848249999999999
390,99840,0.39304166666666657
400,102400,0.5131083333333332
410,104960,0.6904583333333332
420,107520,0.47456666666666647
430,110080,-0.20436666666666695
440,112640,0.5561999999999999
450,115200,0.6807083333333332
460,117760,0.39661666666666645
470,120320,0.4774916666666664
480,122880,0.63415
490,125440,0.6290583333333333
500,128000,0.5585833333333331
510,130560,0.15258333333333313
520,133120,0.5581499999999998
530,135680,0.6904583333333334
540,138240,0.7789166666666666
550,140800,0.5193916666666666
560,143360,0.04074999999999978
570,145920,0.4038749999999999
580,148480,0.6486666666666667
590,151040,0.44469166666666643
600,153600,0.44284999999999974
610,156160,0.5975583333333333
620,158720,0.7243416666666666
630,161280,0.5907333333333332
640,163840,-0.00223333333333355
650,166400,0.3632749999999998
660,168960,0.6445500000000001
670,171520,0.6316583333333331
680,174080,0.6686833333333332
690,176640,0.6372916666666665
700,179200,0.6311166666666664
710,181760,0.6410833333333331
720,184320,0.6045999999999998
730,186880,0.42334999999999984
740,189440,0.3041499999999998
750,192000,0.5682249999999999
760,194560,0.6740999999999997
770,197120,0.5070416666666664
780,199680,0.6293833333333333
