reward,steps,success,avg_decision_time,episode,agent
0.7837999999999999,47,1,0.06319338085124904,0,pomcp
0.9448,12,1,0.03344034166487594,1,pomcp
0.8988,22,1,0.05868360454504992,2,pomcp
0.8528,32,1,0.05566606249885808,3,pomcp
0.7884,46,1,0.05549885869455149,4,pomcp
0.8206,39,1,0.04389253333181095,5,pomcp
0.9126,19,1,0.05840773157864245,6,pomcp
0.9126,19,1,0.05545521052983148,7,pomcp
0.8435999999999999,34,1,0.04381772941312246,8,pomcp
0.8758,27,1,0.055955892592599546,9,pomcp
0.9034,21,1,0.05517235714207692,10,pomcp
0.839,35,1,0.06866683428649724,11,pomcp
0.9126,19,1,0.06243648420939663,12,pomcp
0.8573999999999999,31,1,0.06566952903156034,13,pomcp
0.7424,56,1,0.040193285715109335,14,pomcp
0.6135999999999999,84,1,0.05843292261956127,15,pomcp
0.8206,39,1,0.059822858974280864,16,pomcp
0.862,30,1,0.06048377999977674,17,pomcp
0.9356,14,1,0.052941850003013054,18,pomcp
0.862,30,1,0.04218882333564882,19,pomcp
0.9172,18,1,0.059374805556015216,20,pomcp
0.8482,33,1,0.06089114848653095,21,pomcp
0.8482,33,1,0.055605227270544594,22,pomcp
0.862,30,1,0.05561605999876822,23,pomcp
0.7791999999999999,48,1,0.0631202979157024,24,pomcp
0.8298,37,1,0.04778874324433304,25,pomcp
0.8114,41,1,0.06197954634120745,26,pomcp
0.9264,16,1,0.059543556248172536,27,pomcp
0.8482,33,1,0.04150866969774308,28,pomcp
0.9172,18,1,0.05496569444625897,29,pomcp
0.862,30,1,0.042105080000086066,30,pomcp
0.816,40,1,0.058149732499441595,31,pomcp
0.7607999999999999,52,1,0.05766155384536922,32,pomcp
0.9402,13,1,0.04355785384989129,33,pomcp
0.9218,17,1,0.04306517647209523,34,pomcp
0.9034,21,1,0.03890814761897283,35,pomcp
0.6871999999999999,68,1,0.06261697647171198,36,pomcp
0.9218,17,1,0.05613652941332582,37,pomcp
0.9264,16,1,0.03726340624962177,38,pomcp
0.8251999999999999,38,1,0.06193107894719824,39,pomcp
0.8206,39,1,0.061871023075162575,40,pomcp
0.9172,18,1,0.06040772222412569,41,pomcp
0.9264,16,1,0.036033106252034486,42,pomcp
0.9218,17,1,0.04446702352930408,43,pomcp
0.7699999999999999,50,1,0.0491980379994493,44,pomcp
0.7884,46,1,0.04266745652263205,45,pomcp
0.9218,17,1,0.053401194121654366,46,pomcp
0.9218,17,1,0.03479992941292414,47,pomcp
0.9402,13,1,0.04621736922910294,48,pomcp
0.7424,56,1,0.0652923660704151,49,pomcp
