update,total_steps,eval_mean_reward
10,5120,-0.40000000000000024
20,10240,0.8049999999999999
30,15360,-0.40000000000000024
40,20480,0.5092499999999999
50,25600,0.7887500000000001
60,30720,-0.40000000000000024
70,35840,-0.40000000000000024
80,40960,-0.40000000000000024
90,46080,-0.40000000000000024
100,51200,0.56775
110,56320,0.6814999999999999
120,61440,-0.40000000000000024
130,66560,-0.40000000000000024
140,71680,0.7822499999999998
150,76800,-0.40000000000000024
160,81920,0.1159999999999997
170,87040,0.3759999999999999
180,92160,-0.40000000000000024
190,97280,0.6977499999999999
200,102400,0.7985
210,107520,0.727
220,112640,0.7595
230,117760,0.727
240,122880,0.7659999999999999
250,128000,-0.40000000000000024
260,133120,0.6912499999999999
270,138240,0.7692499999999998
280,143360,0.6197499999999999
290,148480,0.7822499999999998
300,153600,0.8049999999999999
310,158720,0.80175
320,163840,-0.40000000000000024
330,168960,0.7595
340,174080,-0.40000000000000024
350,179200,0.7627499999999998
360,184320,0.47024999999999995
370,189440,-0.40000000000000024
380,194560,0.8082499999999999
390,199680,-0.40000000000000024
