reward,steps,success,avg_decision_time,episode,agent
-0.25000000000000017,250,0,0.03496827560034581,0,pomcp
0.7377999999999999,57,1,0.03602774736824805,1,pomcp
0.9356,14,1,0.034128835714779725,2,pomcp
-0.25000000000000017,250,0,0.03533115719986381,3,pomcp
-0.25000000000000017,250,0,0.03573957439989317,4,pomcp
0.6549999999999999,75,1,0.03470600133296102,5,pomcp
0.9908,2,1,0.024063750002824236,6,pomcp
-0.25000000000000017,250,0,0.036473963200172876,7,pomcp
-0.25000000000000017,250,0,0.03704919520084513,8,pomcp
-0.25000000000000017,250,0,0.03578957919974346,9,pomcp
-0.25000000000000017,250,0,0.040273661200131754,10,pomcp
-0.25000000000000017,250,0,0.04032995240041055,11,pomcp
-0.25000000000000017,250,0,0.04045483360061189,12,pomcp
-0.25000000000000017,250,0,0.04140985040052328,13,pomcp
-0.25000000000000017,250,0,0.037815174800518436,14,pomcp
-0.25000000000000017,250,0,0.03754620359948604,15,pomcp
0.9632,8,1,0.027913387504668208,16,pomcp
-0.25000000000000017,250,0,0.03833717479981715,17,pomcp
-0.25000000000000017,250,0,0.03508925359987188,18,pomcp
-0.25000000000000017,250,0,0.037881539199850524,19,pomcp
0.48939999999999995,111,1,0.03107472882907091,20,pomcp
-0.25000000000000017,250,0,0.03239900640002452,21,pomcp
0.9724,6,1,0.030047849999391474,22,pomcp
-0.25000000000000017,250,0,0.03327665719971992,23,pomcp
-0.25000000000000017,250,0,0.029724481999466663,24,pomcp
-0.25000000000000017,250,0,0.029926430400577374,25,pomcp
-0.25000000000000017,250,0,0.029304177600541152,26,pomcp
-0.25000000000000017,250,0,0.0293676932004164,27,pomcp
-0.25000000000000017,250,0,0.02894973959971685,28,pomcp
0.7562,53,1,0.028983433962632674,29,pomcp
-0.25000000000000017,250,0,0.029539535200223326,30,pomcp
-0.25000000000000017,250,0,0.029686768000770827,31,pomcp
-0.25000000000000017,250,0,0.02971554159995867,32,pomcp
0.977,5,1,0.022053480002796277,33,pomcp
-0.25000000000000017,250,0,0.02963600919995224,34,pomcp
-0.25000000000000017,250,0,0.03213116919988533,35,pomcp
-0.25000000000000017,250,0,0.033916157199651936,36,pomcp
-0.25000000000000017,250,0,0.03323332719987957,37,pomcp
0.9586,9,1,0.026714888886393357,38,pomcp
-0.25000000000000017,250,0,0.03350943319970975,39,pomcp
-0.25000000000000017,250,0,0.0310624131996301,40,pomcp
-0.25000000000000017,250,0,0.029683923200063873,41,pomcp
-0.25000000000000017,250,0,0.029386264400731308,42,pomcp
0.9954,1,1,0.016643099996144883,43,pomcp
-0.25000000000000017,250,0,0.029756657200108748,44,pomcp
-0.25000000000000017,250,0,0.030110760400420985,45,pomcp
-0.25000000000000017,250,0,0.030072803200338966,46,pomcp
-0.25000000000000017,250,0,0.029487783999880775,47,pomcp
-0.25000000000000017,250,0,0.029107101599976887,48,pomcp
-0.25000000000000017,250,0,0.02883626000006916,49,pomcp
